benchmark,binary,class,size,count,source
"523.xalancbmk_r","cpuxalan_r.wasm",56,2,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",57,1444,3024,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",58,820,208,"other"
"523.xalancbmk_r","cpuxalan_r.wasm",59,44,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",60,9,2,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",61,1,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",62,17,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",63,1,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",64,9,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",65,409,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",66,3,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",67,19,14,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",68,1444,3,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",69,812,3893,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",70,1,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",71,116,1,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",72,4,1,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",73,324,9,"local.(get|tee)"
"523.xalancbmk_r","cpuxalan_r.wasm",74,349,18,"other"
"523.xalancbmk_r","cpuxalan_r.wasm",75,3,2,"i32.load"
"523.xalancbmk_r","cpuxalan_r.wasm",76,1,1,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",0,2,2,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",1,4,2,"i32.load"
"525.x264_r-fastcomp","x264_r.wasm",2,28,92,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",3,10,59,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",4,8,27,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",5,17,5,"i32.load"
"525.x264_r-fastcomp","x264_r.wasm",6,32,33,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",7,3,1,"i32.load"
"525.x264_r-fastcomp","x264_r.wasm",8,3,16,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",9,24,3,"i32.load"
"525.x264_r-fastcomp","x264_r.wasm",10,3,3,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",11,28,5,"i32.load"
"525.x264_r-fastcomp","x264_r.wasm",12,3,56,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",13,15,30,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",14,2,30,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",15,15,6,"i32.load"
"525.x264_r-fastcomp","x264_r.wasm",16,2,1,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",17,1,1,"i32.const"
"525.x264_r-fastcomp","x264_r.wasm",18,14,3,"i32.load"
"525.x264_r-fastcomp","x264_r.wasm",19,24,42,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",20,1,1,"i32.const"
"525.x264_r-fastcomp","x264_r.wasm",21,4,2,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",22,33,105,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",23,25,39,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",24,33,16,"i32.load"
"525.x264_r-fastcomp","x264_r.wasm",25,14,4,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",26,7,11,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",27,17,96,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",28,32,1,"i32.load"
"525.x264_r-fastcomp","x264_r.wasm",29,15,79,"local.(get|tee)"
"525.x264_r-fastcomp","x264_r.wasm",30,7,2,"i32.load"
"531.deepsjeng_r","deepsjeng_r.wasm",0,1,1,"local.(get|tee)"
"531.deepsjeng_r","deepsjeng_r.wasm",1,2,1,"i32.load"
"531.deepsjeng_r","deepsjeng_r.wasm",2,2,1,"i32.load"
"531.deepsjeng_r","deepsjeng_r.wasm",3,4,6,"i32.load"
"531.deepsjeng_r","deepsjeng_r.wasm",4,1,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",0,1,1,"i32.const"
"526.blender_r","blender_r.wasm",1,152,14,"local.(get|tee)"
"526.blender_r","blender_r.wasm",2,6,4,"local.(get|tee)"
"526.blender_r","blender_r.wasm",3,1,1,"i32.load"
"526.blender_r","blender_r.wasm",4,221,38,"local.(get|tee)"
"526.blender_r","blender_r.wasm",5,39,4,"i32.load"
"526.blender_r","blender_r.wasm",6,1,1,"i32.load"
"526.blender_r","blender_r.wasm",7,1,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",8,1727,4737,"i32.load"
"526.blender_r","blender_r.wasm",9,1,3,"i32.const"
"526.blender_r","blender_r.wasm",10,5734,105,"local.(get|tee)"
"526.blender_r","blender_r.wasm",11,2,4,"local.(get|tee)"
"526.blender_r","blender_r.wasm",12,946,111,"local.(get|tee)"
"526.blender_r","blender_r.wasm",13,1,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",14,1727,12,"other"
"526.blender_r","blender_r.wasm",15,8,13,"local.(get|tee)"
"526.blender_r","blender_r.wasm",16,1,1,"i32.load"
"526.blender_r","blender_r.wasm",17,65,9,"i32.load"
"526.blender_r","blender_r.wasm",18,0,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",19,2,3,"local.(get|tee)"
"526.blender_r","blender_r.wasm",20,23,5,"local.(get|tee)"
"526.blender_r","blender_r.wasm",21,26,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",22,13,1,"i32.load"
"526.blender_r","blender_r.wasm",23,3254,3736,"i32.load"
"526.blender_r","blender_r.wasm",24,4,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",25,3,1,"i32.load"
"526.blender_r","blender_r.wasm",26,3,12,"local.(get|tee)"
"526.blender_r","blender_r.wasm",27,6,7,"i32.load"
"526.blender_r","blender_r.wasm",28,732,62,"local.(get|tee)"
"526.blender_r","blender_r.wasm",29,3,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",30,4,1,"i32.load"
"526.blender_r","blender_r.wasm",31,0,3,"i32.load"
"526.blender_r","blender_r.wasm",32,3,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",33,0,2,"local.(get|tee)"
"526.blender_r","blender_r.wasm",34,3,4,"i32.load"
"526.blender_r","blender_r.wasm",35,2,4,"local.(get|tee)"
"526.blender_r","blender_r.wasm",36,969,5,"i32.load"
"526.blender_r","blender_r.wasm",37,1,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",38,9,1,"i32.load"
"526.blender_r","blender_r.wasm",39,8,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",40,1,2,"i32.const"
"526.blender_r","blender_r.wasm",41,7,4,"local.(get|tee)"
"526.blender_r","blender_r.wasm",42,1,1,"i32.load"
"526.blender_r","blender_r.wasm",43,1,1,"i32.const"
"526.blender_r","blender_r.wasm",44,10,12,"i32.load"
"526.blender_r","blender_r.wasm",45,13,4,"local.(get|tee)"
"526.blender_r","blender_r.wasm",46,1,2,"i32.const"
"526.blender_r","blender_r.wasm",47,4,1,"i32.load"
"526.blender_r","blender_r.wasm",48,3254,87,"local.(get|tee)"
"526.blender_r","blender_r.wasm",49,65,39,"local.(get|tee)"
"526.blender_r","blender_r.wasm",50,2,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",51,3,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",52,5,3,"i32.load"
"526.blender_r","blender_r.wasm",53,5,8,"local.(get|tee)"
"526.blender_r","blender_r.wasm",54,1,1,"i32.const"
"526.blender_r","blender_r.wasm",55,1865,7,"other"
"526.blender_r","blender_r.wasm",56,792,267,"local.(get|tee)"
"526.blender_r","blender_r.wasm",57,732,149,"i32.load"
"526.blender_r","blender_r.wasm",58,6,1,"i32.load"
"526.blender_r","blender_r.wasm",59,1,5,"i32.const"
"526.blender_r","blender_r.wasm",60,1,1,"i32.const"
"526.blender_r","blender_r.wasm",61,5,8,"i32.load"
"526.blender_r","blender_r.wasm",62,1,1,"i32.const"
"526.blender_r","blender_r.wasm",63,2,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",64,4,10,"i32.load"
"526.blender_r","blender_r.wasm",65,95,11,"i32.load"
"526.blender_r","blender_r.wasm",66,1865,5360,"i32.load"
"526.blender_r","blender_r.wasm",67,1,4,"i32.const"
"526.blender_r","blender_r.wasm",68,2,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",69,8,1,"i32.load"
"526.blender_r","blender_r.wasm",70,17,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",71,1,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",72,39,3,"local.(get|tee)"
"526.blender_r","blender_r.wasm",73,1,1,"i32.const"
"526.blender_r","blender_r.wasm",74,1,4,"i32.const"
"526.blender_r","blender_r.wasm",75,5734,486,"i32.load"
"526.blender_r","blender_r.wasm",76,969,9,"local.(get|tee)"
"526.blender_r","blender_r.wasm",77,118,30,"i32.load"
"526.blender_r","blender_r.wasm",78,23,19,"i32.load"
"526.blender_r","blender_r.wasm",79,118,14,"local.(get|tee)"
"526.blender_r","blender_r.wasm",80,1,44,"i32.load"
"526.blender_r","blender_r.wasm",81,221,45,"i32.load"
"526.blender_r","blender_r.wasm",82,20,2,"other"
"526.blender_r","blender_r.wasm",83,792,411,"i32.load"
"526.blender_r","blender_r.wasm",84,7,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",85,8,1,"other"
"526.blender_r","blender_r.wasm",86,732,1,"other"
"526.blender_r","blender_r.wasm",87,1,1,"i32.const"
"526.blender_r","blender_r.wasm",88,17,5,"i32.load"
"526.blender_r","blender_r.wasm",89,1,1,"i32.const"
"526.blender_r","blender_r.wasm",90,1,2,"i32.const"
"526.blender_r","blender_r.wasm",91,4,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",92,0,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",93,3,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",94,2,2,"i32.load"
"526.blender_r","blender_r.wasm",95,1,1,"i32.const"
"526.blender_r","blender_r.wasm",96,1,1,"i32.load"
"526.blender_r","blender_r.wasm",97,152,79,"i32.load"
"526.blender_r","blender_r.wasm",98,1,1,"i32.const"
"526.blender_r","blender_r.wasm",99,1865,143,"local.(get|tee)"
"526.blender_r","blender_r.wasm",100,1,2,"i32.const"
"526.blender_r","blender_r.wasm",101,378,17,"i32.load"
"526.blender_r","blender_r.wasm",102,1,1,"i32.const"
"526.blender_r","blender_r.wasm",103,2,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",104,1,2,"i32.load"
"526.blender_r","blender_r.wasm",105,1,1,"i32.const"
"526.blender_r","blender_r.wasm",106,24,5,"local.(get|tee)"
"526.blender_r","blender_r.wasm",107,2,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",108,3,3,"i32.load"
"526.blender_r","blender_r.wasm",109,2,1,"i32.load"
"526.blender_r","blender_r.wasm",110,1727,339,"local.(get|tee)"
"526.blender_r","blender_r.wasm",111,7,4,"i32.load"
"526.blender_r","blender_r.wasm",112,1,2,"i32.const"
"526.blender_r","blender_r.wasm",113,1,1,"i32.const"
"526.blender_r","blender_r.wasm",114,946,342,"i32.load"
"526.blender_r","blender_r.wasm",115,26,3,"i32.load"
"526.blender_r","blender_r.wasm",116,3,1,"i32.load"
"526.blender_r","blender_r.wasm",117,1,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",118,95,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",119,6,4,"i32.load"
"526.blender_r","blender_r.wasm",120,5,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",121,4,2,"local.(get|tee)"
"526.blender_r","blender_r.wasm",122,20,17,"local.(get|tee)"
"526.blender_r","blender_r.wasm",123,1,215,"i32.const"
"526.blender_r","blender_r.wasm",124,2,1,"other"
"526.blender_r","blender_r.wasm",125,378,8,"local.(get|tee)"
"526.blender_r","blender_r.wasm",126,2,1,"local.(get|tee)"
"526.blender_r","blender_r.wasm",127,3,1,"local.(get|tee)"
"538.imagick_r","imagick_r.wasm",0,19,4,"i32.load"
"538.imagick_r","imagick_r.wasm",1,26,23,"local.(get|tee)"
"538.imagick_r","imagick_r.wasm",2,3,3,"local.(get|tee)"
"538.imagick_r","imagick_r.wasm",3,5,2,"local.(get|tee)"
"538.imagick_r","imagick_r.wasm",4,5,2,"local.(get|tee)"
"538.imagick_r","imagick_r.wasm",5,1,1,"other"
"538.imagick_r","imagick_r.wasm",6,16,4,"local.(get|tee)"
"538.imagick_r","imagick_r.wasm",7,1,1,"local.(get|tee)"
"538.imagick_r","imagick_r.wasm",8,1,1,"i32.const"
"538.imagick_r","imagick_r.wasm",9,19,14,"local.(get|tee)"
"538.imagick_r","imagick_r.wasm",10,1,1,"i32.const"
"538.imagick_r","imagick_r.wasm",11,2,1,"local.(get|tee)"
"538.imagick_r","imagick_r.wasm",12,1,7,"i32.const"
"538.imagick_r","imagick_r.wasm",13,5,1592,"i32.load"
"538.imagick_r","imagick_r.wasm",14,5,10,"i32.load"
"538.imagick_r","imagick_r.wasm",15,2,1,"local.(get|tee)"
"538.imagick_r","imagick_r.wasm",16,6,3,"local.(get|tee)"
"538.imagick_r","imagick_r.wasm",17,1,135,"i32.load"
"538.imagick_r","imagick_r.wasm",18,1,1,"local.(get|tee)"
"538.imagick_r","imagick_r.wasm",19,26,89,"i32.load"
"538.imagick_r","imagick_r.wasm",20,16,4,"i32.load"
"538.imagick_r","imagick_r.wasm",21,2,2,"i32.load"
"541.leela_r","leela_r.wasm",0,1,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",1,2,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",2,8,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",3,52,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",4,20,4,"i32.load"
"541.leela_r","leela_r.wasm",5,12,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",6,9,12,"i32.load"
"541.leela_r","leela_r.wasm",7,1,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",8,61,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",9,2,2,"i32.load"
"541.leela_r","leela_r.wasm",10,52,36,"i32.load"
"541.leela_r","leela_r.wasm",11,23,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",12,4,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",13,21,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",14,2,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",15,12,3,"i32.load"
"541.leela_r","leela_r.wasm",16,1,1,"i32.const"
"541.leela_r","leela_r.wasm",17,3,1,"i32.load"
"541.leela_r","leela_r.wasm",18,119,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",19,61,1,"other"
"541.leela_r","leela_r.wasm",20,23,6,"i32.load"
"541.leela_r","leela_r.wasm",21,38,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",22,67,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",23,4,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",24,38,6,"i32.load"
"541.leela_r","leela_r.wasm",25,1,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",26,10,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",27,67,22,"i32.load"
"541.leela_r","leela_r.wasm",28,2,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",29,61,5,"i32.load"
"541.leela_r","leela_r.wasm",30,20,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",31,84,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",32,2,1,"local.(get|tee)"
"541.leela_r","leela_r.wasm",33,21,3,"i32.load"
"541.leela_r","leela_r.wasm",34,1,1,"i32.const"
"541.leela_r","leela_r.wasm",35,6,4,"i32.load"
"541.leela_r","leela_r.wasm",36,84,55,"i32.load"
"541.leela_r","leela_r.wasm",37,28,2,"local.(get|tee)"
"541.leela_r","leela_r.wasm",38,3,3,"i32.load"
"541.leela_r","leela_r.wasm",39,119,74,"i32.load"
"541.leela_r","leela_r.wasm",40,1,1,"local.(get|tee)"
"544.nab_r","nab_r.wasm",0,1,6,"i32.const"
"544.nab_r","nab_r.wasm",1,4,7,"i32.load"
"544.nab_r","nab_r.wasm",2,2,1,"i32.load"
"544.nab_r","nab_r.wasm",3,0,1,"i32.const"
"544.nab_r","nab_r.wasm",4,2,1,"i32.load"
"544.nab_r","nab_r.wasm",5,1,1,"local.(get|tee)"
"557.xz_r","xz_r.wasm",0,22,3,"local.(get|tee)"
"557.xz_r","xz_r.wasm",1,10,4,"local.(get|tee)"
"557.xz_r","xz_r.wasm",2,0,1,"i32.const"
"557.xz_r","xz_r.wasm",3,0,1,"i32.const"
"557.xz_r","xz_r.wasm",4,2,4,"local.(get|tee)"
"557.xz_r","xz_r.wasm",5,17,11,"i32.load"
"557.xz_r","xz_r.wasm",6,13,3,"i32.load"
"557.xz_r","xz_r.wasm",7,5,1,"local.(get|tee)"
"557.xz_r","xz_r.wasm",8,22,7,"i32.load"
"557.xz_r","xz_r.wasm",9,17,11,"local.(get|tee)"
"557.xz_r","xz_r.wasm",10,3,2,"local.(get|tee)"
"557.xz_r","xz_r.wasm",11,13,2,"local.(get|tee)"
"557.xz_r","xz_r.wasm",12,10,8,"i32.load"
"557.xz_r","xz_r.wasm",13,1,1,"i32.const"
"557.xz_r","xz_r.wasm",14,11,1,"local.(get|tee)"
"557.xz_r","xz_r.wasm",15,1,1,"i32.load"
"557.xz_r","xz_r.wasm",16,10,6,"i32.load"
"557.xz_r","xz_r.wasm",17,11,3,"i32.load"
"557.xz_r","xz_r.wasm",18,2,1,"i32.load"
